dla tonu;raport
bardzo chrapliwy ton prądu zmiennego;1
chrapliwy ton prądu zmiennego, bez śladów muzykalności;2
chrapliwy, niski ton prądu zmiennego, lekko muzykalny;3
nieco chrapliwy ton prądu zmiennego;4
ton dźwięczny, modulowany składową zmienną;5
ton modulowany, lekko świszczący;6
ton prawie czysty, lekko świszczący;7
ton czysty;8
bardzo czysty, dźwięczny ton;9
