dla województwa;okręg
zachodnio-pomorskie;1
pomorskie;2
kujawsko-pomorskie;2
lubuskie;3
wielkopolskie;3
warmińsko-mazurskie;4
podlaskie;4
mazowieckie;5
dolnośląskie;6
opolskie;6
łódzkie;7
świętokrzyskie;7
lubelskie;8
podkarpackie;8
śląskie;9
małopolskie;9
